Glo-Go #1865,1969,1865,,,,,"Ready for the dance floor, Barbie® doll twirled in swirls of chiffon and metallic knit. The halter-top featured a high collar red lame bodice and matching belt at the empire waist. The fabric was a red lame, which is very fragile and is rarely seen without some silvering on the lame. The white chiffon skirt was swirled with raspberry and sprinkled with dots. The skirt was lined with white satin. Red closed toe shoes completed the stunning set."
Sparkle Beauty Barbie Doll,1997,17251,Special Edition,,Collector,,Barbie is at her lovely best in a gown created just for her!
Midnight Waltz™ Barbie® Doll,1996,15685,,Ballroom Beauties Collection,Collector,,"Barbie® doll is the belle of the ball in her midnight blue, velvety ball gown. Strands of faux pearls adorn her glamorous skirt, while a white satiny drape adds softness and contrast, and an underskirt of lace peeks out in front. Accessories include long white opera gloves and a double strand faux pearl necklace. From the bow in her hair to the dainty fan in her hand, everything about this stunning Limited Edition doll will make you want to dance."
Moonlight Waltz Barbie® Doll,1997,17763,,Ballroom Beauties Collection,Collector,,"Moonlight Waltz™ Barbie® looks sensational in a brick red taffeta gown with black tulle and sequins, and a chiffon shawl. Her dark hair is styled into an elegant upsweep, accented by a pleated headband with black feathers. Rhinestone drop earrings add a glamorous touch to this delightful doll."
Angel Princess Barbie,1996,15911,,,Play line,,
Sweet Valentine™ Barbie® Doll,1996,14880,,,,,"For hundreds of years, February 14 has been celebrated as St. Valentine's Day, a time to send and receive tokens of love. And nothing could be a better symbol of love than Sweet Valentine™ Barbie®. She wears a charming gown of softest pink, adorned with roses, the symbol of love. From her lovely dark hair, swept back from her face, to the gracious folds of her elegant gown, her every detail will touch your heart. Sweet Valentine™ Barbie®. It will be love at first sight."
,,16093,,,,,
Busy Gal Barbie® Doll,1995,13675,,,,,"This nostalgic reproduction of the 1960 Busy Gal fashion features Barbie® doll as a brunette with the curled bangs, ponytail, and wearing the fabulous red and white fashion ensemble. The Busy Gal fashion consists of a red and white striped blouse, red jacket with matching striped lining, and a knee-length tailored red skirt. An adorable little black hat with matching red and white striped lining sits atop Barbie® doll's hair. Vintage face painting adds to the doll's nostalgic essence."
Solo in the Spotlight® Barbie® Doll (Brunette),1995,13820,Special Edition,,Collector,,"In a fitted black shimmering sheath gown that flairs at the hem, Barbie® doll re-creates the popular 1960 Solo in the Spotlight fashion. Simple yet elegant, this wonderful reproduction features Barbie® with a brunette ponytail and vintage face paint. Additional details include black pumps, long black gloves, a pink scarf, and a four strand faux pearl necklace. What a stunning reproduction!"
Fao Schwarz - Circus Star Barbie®,1995,13257,Limited Edition,,Collector,,
